title;coefficient;services
Поддерживающая;1;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Моем пол и плинтусы/Моем зеркала и стёкла/Протираем бытовую технику/Выносим мусор/Моем горизонтальные поверхности/Моем плиту, раковину и посуду
Генеральная;1;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Моем пол и плинтусы/Моем зеркала и стёкла/Протираем бытовую технику/Выносим мусор/Моем горизонтальные поверхности/Моем плиту, раковину и посуду/Убираем санузел/Аккуратно протираем мебель от пыли/Моем шкафы и ящики изнутри/Протираем антресоли, гардины и карнизы/Удаляем пыль с дверных проёмов/Протираем от пыли все предметы интерьера
После ремонта;2;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Моем пол и плинтусы/Моем зеркала и стёкла/Протираем бытовую технику/Выносим мусор/Моем горизонтальные поверхности/Моем шкафы и ящики изнутри/Удаляем пыль с дверных проёмов
После праздника;1.5;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Протираем бытовую технику/Выносим мусор/Моем плиту, раковину и посуду/Убираем санузел/Протираем антресоли, гардины и карнизы/Удаляем пыль с дверных проёмов
