title;coefficient;services
Поддерживающая уборка;1;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Моем пол и плинтусы/Моем зеркала и стёкла/Протираем бытовую технику/Выносим мусор/Моем горизонтальные поверхности/Моем плиту, раковину и посуду
Генеральная уборка;1;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Моем пол и плинтусы/Моем зеркала и стёкла/Протираем бытовую технику/Выносим мусор/Моем горизонтальные поверхности/Моем плиту, раковину и посуду/Убираем санузел/Аккуратно протираем мебель от пыли/Моем шкафы и ящики изнутри/Протираем антресоли, гардины и карнизы/Удаляем пыль с дверных проёмов и дверей/Протираем от пыли все предметы интерьера
Уборка после ремонта;2;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Моем пол и плинтусы/Моем зеркала и стёкла/Протираем бытовую технику/Выносим мусор/Моем горизонтальные поверхности/Моем шкафы и ящики изнутри/Удаляем пыль с дверных проёмов и дверей
Уборка после торжества;1.5;Выезд уборщиков/Пылесосим/Протираем от пыли торшеры и бра/Протираем бытовую технику/Выносим мусор/Моем плиту, раковину и посуду/Убираем санузел/Протираем антресоли, гардины и карнизы/Удаляем пыль с дверных проёмов и дверей
